2025-09-23 19:58:48,Singapur,Singapur,Singapur,ACIERTO
2025-09-23 20:01:22,Argelia,Argel,Argel,ACIERTO
2025-09-23 20:01:37,Georgia,Tiflis,Mogadiscio,FALLO
2025-09-23 20:01:44,Costa de Marfil,Yamusukro,Yamusukro,ACIERTO
2025-09-23 20:04:02,Kirguistán,Biskek,Ulán Bator,FALLO
2025-09-23 20:04:09,Etiopía,Addis Abeba,Lomé,FALLO
2025-09-23 20:14:36,Argentina,Buenos Aires,Buenos Aires,ACIERTO
2025-09-23 20:27:42,San Cristóbal y Nieves,Basseterre,Gitega,FALLO
2025-09-23 20:27:45,Colombia,Bogotá,Bogotá,ACIERTO
2025-09-23 20:27:50,Guinea,Conakry,Canberra,FALLO
2025-09-23 20:27:54,Belice,Belmopán,Belmopán,ACIERTO
2025-09-23 20:31:32,Ciudad del Vaticano,Ciudad del Vaticano,Ciudad del Vaticano,ACIERTO
2025-09-23 20:31:39,Burkina Faso,Uagadugú,Bandar Seri Begawan,FALLO
2025-09-23 20:31:43,Samoa,Apia,Apia,ACIERTO
2025-09-23 20:31:49,Togo,Lomé,Lomé,ACIERTO
2025-09-23 20:31:53,Turkmenistán,Asjabad,Malabo,FALLO
2025-09-23 20:31:59,Georgia,Tiflis,Bamako,FALLO
2025-09-23 20:32:01,Perú,Lima,Lima,ACIERTO
2025-09-23 20:32:05,Tailandia,Bangkok,Bangkok,ACIERTO
2025-09-23 20:32:10,Haití,Puerto Príncipe,Puerto Príncipe,ACIERTO
2025-09-23 20:32:17,Mauricio,Port Louis,Port Louis,ACIERTO
2025-09-23 20:32:21,Congo,Brazzaville,Brazzaville,ACIERTO
2025-09-23 20:32:27,Nueva Zelanda,Wellington,Wellington,ACIERTO
2025-09-23 20:32:30,Ciudad del Vaticano,Ciudad del Vaticano,Ciudad del Vaticano,ACIERTO
2025-09-23 20:32:34,Qatar,Doha,Doha,ACIERTO
2025-09-23 20:32:38,Uganda,Kampala,Kampala,ACIERTO
2025-09-23 20:32:47,Ghana,Accra,Manama,FALLO
2025-09-23 20:33:00,Palaos,Ngerulmud,Port Vila,FALLO
2025-09-23 20:33:08,Kirguistán,Biskek,Biskek,ACIERTO
2025-09-23 20:33:13,España,Madrid,Madrid,ACIERTO
2025-09-23 20:51:55,Eritrea,Asmara,Zagreb,FALLO
2025-09-23 20:52:01,Alemania,Berlín,Berlín,ACIERTO
2025-09-23 20:52:06,Chile,Santiago de Chile,Santiago de Chile,ACIERTO
2025-09-23 20:52:11,Paraguay,Asunción,Asunción,ACIERTO
2025-09-23 20:52:17,Mauritania,Nuakchot,Varsovia,FALLO
2025-09-23 20:52:24,Sudán,Jartum,Bucarest,FALLO
2025-09-23 20:52:29,Tailandia,Bangkok,Bangkok,ACIERTO
2025-09-23 20:52:45,Bangladesh,Dhaka,Beirut,FALLO
2025-09-23 20:52:53,Dominica,Roseau,Roseau,ACIERTO
2025-09-23 21:16:46,Bolivia,Sucre,Sucre,ACIERTO
2025-09-23 21:16:56,Rumania,Bucarest,Bucarest,ACIERTO
2025-09-23 21:17:02,Kenia,Nairobi,Nairobi,ACIERTO
2025-09-23 21:17:09,Palaos,Ngerulmud,Teherán,FALLO
2025-09-23 21:17:15,República Democrática del Congo,Kinshasa,Túnez,FALLO
2025-09-23 21:17:28,Pakistán,Islamabad,Islamabad,ACIERTO
2025-09-23 21:17:34,Guyana,Georgetown,Georgetown,ACIERTO
2025-09-23 21:17:39,Islandia,Reikiavik,Reikiavik,ACIERTO
2025-09-23 21:17:46,Chad,Yamena,Dushanbé,FALLO
2025-09-23 21:17:55,Ghana,Accra,Accra,ACIERTO
2025-09-23 21:18:01,Sudán del Sur,Yuba,Maputo,FALLO
2025-09-23 21:18:16,Omán,Mascate,Mascate,ACIERTO
2025-09-23 21:18:23,Panamá,Ciudad de Panamá,Ciudad de Panamá,ACIERTO
2025-09-23 21:18:35,Tuvalu,Funafuti,Funafuti,ACIERTO
2025-09-23 21:18:39,Jamaica,Kingston,Kingston,ACIERTO
2025-09-23 21:18:45,Comoras,Moroni,Kampala,FALLO
2025-09-23 21:18:52,Trinidad y Tobago,Puerto España,Puerto España,ACIERTO
2025-09-23 21:18:57,Nauru,Yaren,Dodoma,FALLO
